Journal,IDno,Year,Volume,Issue,ArticleTitle,FirstFemale,LastFemale,TotalFemale,TotalMale,TotalAuthors,TotalAmbiguous,Bird,anyFEM,firstFEM,lastFEM,Pfem,Pmale
AUK,1,2010,127,1,Prospects for the use of Next-Generation Sequencing Methods in Ornithology,Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,2,2010,127,1,Balanced Sex Ratio at Hatch in a Greater Sage-Grouse (Centrocercus urophasianus) Population,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,3,2010,127,1,Evidence of Recent Population Differentiation in Orange-crowned Warblers (Vermivora celata) in Haida Gwaii,N,Y,1,4,5,0,Y,1,0,1,0.2,0.8
AUK,4,2010,127,1,Small-Scale Divergence in Egg Color Along An Elevation Gradient in the Mexican Jay (Aphelocoma ultramarina): A Condition-Dependent Response?,N,Y,1,1,2,0,Y,1,0,1,0.5,0.5
AUK,5,2010,127,1,The Evolution of Tail Shape in Hummingbirds,N,N,0,1,1,0,Y,0,0,0,0,1
AUK,6,2010,127,1,Subspecies Status and Population Genetic Structure in Piping Plover (Charadrius melodus),N,N,2,2,4,0,Y,1,0,0,0.5,0.5
AUK,7,2010,127,1,Effects of Lipid Extraction on Stable Isotope Ratios in Avian Egg Yolk: Is Arithmetic Correction a Reliable Alternative?,N,Y,4,1,5,0,Y,1,0,1,0.8,0.2
AUK,8,2010,127,1,Estimating Length of Avian Incubation and Nestling Stages in Afrotropical Forest Birds from Interval-Censored Nest Records,N,N,0,2,2,0,Y,0,0,0,0,1
AUK,9,2010,127,1,Evaluation of a Reproductive Index for Estimating Productivity of Grassland Breeding Birds,N,N,0,3,3,0,Y,0,0,0,0,1
AUK,10,2010,127,1,"Effects of Prior Detections on Estimates of Detection Probability, Abundance, and Occupancy",N,N,0,4,4,0,Y,0,0,0,0,1
AUK,11,2010,127,1,Effects of Extra Mass on the Pelagic Behavior of a Seabird,N,N,1,3,4,0,Y,1,0,0,0.25,0.75
AUK,12,2010,127,1,Patterns of Fuel use and Storage in Migrating Passerines in Relation to Fruit Resources at Autumn Stopover Sites,Y,N,1,1,2,0,Y,1,1,0,0.5,0.5
AUK,13,2010,127,1,A Comparison between Nocturnal Aural Counts of Passerines and Radar Reflectivity from a Canadian Weather Surveillance Radar,N,N,0,5,5,0,Y,0,0,0,0,1
AUK,14,2010,127,1,"Context-Dependent Changes in the Weighting of Environmental Cues that Initiate Breeding in a Temperate Passerine, the Corsican Blue Tit (Cyanistes caeruleus)",N,N,1,4,5,0,Y,1,0,0,0.2,0.8
AUK,15,2010,127,1,Provisioning in Flesh-Footed Shearwaters (Puffinus carneipes): Plastic Foraging Behavior and the Implications for Increased Fishery Interactions,N,N,1,4,5,0,Y,1,0,0,0.2,0.8
AUK,16,2010,127,1,Concentration-Dependent Sugar Preferences of the Malachite Sunbird (Nectarinia famosa),N,N,1,2,3,0,Y,1,0,0,0.333333333,0.666666667
AUK,17,2010,127,1,Birdsong Differs between Mercury-Polluted and Reference Sites,Y,N,2,2,4,0,Y,1,1,0,0.5,0.5
AUK,18,2010,127,1,Fueling Incubation: Differential use of Body Stores in Arcticand Temperate-Breeding Barnacle Geese (Branta leucopsis),N,N,0,4,4,0,Y,0,0,0,0,1
AUK,19,2010,127,1,Determinants of Territorial Recruitment in Bonelli's Eagle (Aquila fasciata) Populations,N,N,1,6,7,0,Y,1,0,0,0.142857143,0.857142857
AUK,20,2010,127,1,Effects of Forest Management on Postfledging Survival of Rose-Breasted Grosbeaks (Pheucticus ludovicianus),U,N,2,1,4,1,Y,1,0,0,0.5,0.25
AUK,21,2010,127,1,Experimental Evidence that Both Timing and Parental Quality Affect Breeding Success in a Zooplanktivorous Seabird,N,Y,2,1,3,0,Y,1,0,1,0.666666667,0.333333333
